,PIR_364mg.kg_5d_NN_OG_Rep1,PIR_364mg.kg_5d_NN_OG_Rep2,PIR_364mg.kg_5d_NN_OG_Rep3,Control_0_5d_NN_OG_Rep1,Control_0_5d_NN_OG_Rep6,Control_0_5d_NN_OG_Rep3
ENSRNOG00000000815,2170,1883,1794,3840,3312,2872
ENSRNOG00000000816,53.01,63,79,516,365,221
ENSRNOG00000000818,9,11,3,38,32,23
ENSRNOG00000000823,494,495,494,1712,1273,1146
ENSRNOG00000000824,142,137,136,846,613,496
ENSRNOG00000000825,0,0,0,0,1,0
ENSRNOG00000000826,283,253,245,1073,758,491
ENSRNOG00000000827,104,122,71,841,345,327
ENSRNOG00000000831,99,137,133,442,351,318
ENSRNOG00000000833,265,250,244,715,679,529
ENSRNOG00000000836,24,24,26,71,40,40
ENSRNOG00000000837,0,0,0,0,0,0
ENSRNOG00000000838,1,0,1,5,1,4
ENSRNOG00000000839,41,59,30,132,101,73
ENSRNOG00000000840,0,1,0,1,0,2
ENSRNOG00000000841,2106,2368,2154,5771,4670,3797
ENSRNOG00000000842,16,7.15,10.11,43,44,41
ENSRNOG00000000843,0,0,1,0,0,2
ENSRNOG00000000844,0,1,0,1,1,1
ENSRNOG00000000846,0,0,0,0,0,0
ENSRNOG00000000847,894,849,715,2285,2142.91,1684
ENSRNOG00000000848,73,62,60,247,210,156
ENSRNOG00000000850,1297,1497,1159,9019,8437,7036
ENSRNOG00000000851,915,963,795,2940,2575,1916
ENSRNOG00000000852,1552,1745,1383,5834,6232,4271
ENSRNOG00000000853,91,78,90,1010,554,424
ENSRNOG00000000854,0,4,3,31,28,24
ENSRNOG00000000855,12,10,4,118,83,32
ENSRNOG00000000857,1,1,2,3,1,2
ENSRNOG00000000858,0,0,0,2,0,1
ENSRNOG00000000860,1,0,4,3,5,4
ENSRNOG00000000861,0,0,0,0,0,0
ENSRNOG00000000866,203,207,186,443,448,401
ENSRNOG00000000867,420,409,371,1307,963,712
ENSRNOG00000000869,19,24,24,147,87,72
ENSRNOG00000000871,2,0,1,2,0,6
ENSRNOG00000000873,0,0,0,0,0,0
ENSRNOG00000000875,30,27,30,122,118,89
ENSRNOG00000000878,20,14,8,109,72,35
ENSRNOG00000000879,132.53,156.27,126.42,486.46,597.61,427.56
ENSRNOG00000000881,747.47,844.73,670.58,1876.54,2443.39,1759.44
ENSRNOG00000000885,4,3,2,11,8,7
ENSRNOG00000000886,0,0,0,1,0,3
ENSRNOG00000000887,1,3,2,2,0,0
ENSRNOG00000000888,348,320,293,878,810,537
ENSRNOG00000000889,0,1.1,1,4,1.1,9.01
ENSRNOG00000000891,136.03,113.45,156.45,420.83,332.55,277.78
ENSRNOG00000000893,479,426,455,2140,1673,1525
ENSRNOG00000000894,28,22,25,157,128,93
ENSRNOG00000000895,131,191,117,395,365,256
ENSRNOG00000000896,0,0,0,0,0,0
ENSRNOG00000000897,0,0,0,0,0,0
ENSRNOG00000000900,573,619,508,2586,2516,1570
ENSRNOG00000000901,133,135,159,501,366,404
ENSRNOG00000000902,608,695,647,2004,2335,1541
ENSRNOG00000000903,1458,1442,1440,7632,5741,4365
ENSRNOG00000000904,0,0,0,0,0,0
ENSRNOG00000000905,0,1,0,0,0,0
ENSRNOG00000000906,1,2,0,2,7,2
ENSRNOG00000000907,10,7,12,87,49,37
